"MSOA","Tenure","People","Rooms","Count"
"E02000867",5,3,3,39
"E02000867",5,3,4,72
"E02000867",5,3,5,59
"E02000867",5,3,6,21
"E02000867",5,4,1,2
"E02000867",5,4,2,13
"E02000867",5,4,3,44
"E02000867",5,4,4,105
"E02000867",5,4,5,95
"E02000867",5,4,6,90
"E02000867",6,1,1,34
"E02000867",6,1,2,144
"E02000867",6,1,3,115
"E02000867",6,1,4,61
"E02000867",6,1,5,14
"E02000867",6,1,6,6
"E02000867",6,2,1,49
"E02000867",6,2,2,193
"E02000867",6,2,3,335
"E02000867",6,2,4,181
"E02000867",6,2,5,27
"E02000867",6,2,6,20
"E02000867",6,3,1,0
"E02000867",6,3,2,5
"E02000867",6,3,3,67
"E02000867",6,3,4,70
"E02000867",6,3,5,48
"E02000867",6,3,6,16
"E02000867",6,4,1,2
"E02000867",6,4,2,3
"E02000867",6,4,3,21
"E02000867",6,4,4,54
"E02000867",6,4,5,64
"E02000867",6,4,6,75
"E02000868",2,1,1,3
"E02000868",2,1,2,12
"E02000868",2,1,3,48
"E02000868",2,1,4,40
"E02000868",2,1,5,16
"E02000868",2,1,6,5
"E02000868",2,2,1,0
"E02000868",2,2,2,3
"E02000868",2,2,3,24
"E02000868",2,2,4,27
"E02000868",2,2,5,20
"E02000868",2,2,6,7
"E02000868",2,3,1,0
"E02000868",2,3,2,0
"E02000868",2,3,3,0
"E02000868",2,3,4,15
"E02000868",2,3,5,7
"E02000868",2,3,6,1
"E02000868",2,4,1,0
"E02000868",2,4,2,0
"E02000868",2,4,3,0
"E02000868",2,4,4,4
"E02000868",2,4,5,11
"E02000868",2,4,6,2
"E02000868",3,1,1,7
"E02000868",3,1,2,19
"E02000868",3,1,3,74
"E02000868",3,1,4,42
"E02000868",3,1,5,21
"E02000868",3,1,6,2
"E02000868",3,2,1,2
"E02000868",3,2,2,14
"E02000868",3,2,3,61
"E02000868",3,2,4,67
"E02000868",3,2,5,29
"E02000868",3,2,6,10
"E02000868",3,3,1,0
"E02000868",3,3,2,4
"E02000868",3,3,3,10
"E02000868",3,3,4,19
"E02000868",3,3,5,12
"E02000868",3,3,6,2
"E02000868",3,4,1,0
"E02000868",3,4,2,0
"E02000868",3,4,3,8
"E02000868",3,4,4,19
"E02000868",3,4,5,32
"E02000868",3,4,6,12
"E02000868",5,1,1,22
"E02000868",5,1,2,44
"E02000868",5,1,3,165
"E02000868",5,1,4,89
"E02000868",5,1,5,36
"E02000868",5,1,6,8
"E02000868",5,2,1,2
"E02000868",5,2,2,12
"E02000868",5,2,3,48
"E02000868",5,2,4,72
"E02000868",5,2,5,22
"E02000868",5,2,6,12
"E02000868",5,3,1,0
"E02000868",5,3,2,4
"E02000868",5,3,3,17
"E02000868",5,3,4,47
"E02000868",5,3,5,25
"E02000868",5,3,6,10
"E02000868",5,4,1,1
"E02000868",5,4,2,9
"E02000868",5,4,3,16
"E02000868",5,4,4,93
"E02000868",5,4,5,98
"E02000868",5,4,6,89
"E02000868",6,1,1,13
"E02000868",6,1,2,57
"E02000868",6,1,3,73
"E02000868",6,1,4,28
"E02000868",6,1,5,22
"E02000868",6,1,6,4
"E02000868",6,2,1,6
"E02000868",6,2,2,85
"E02000868",6,2,3,170
"E02000868",6,2,4,126
"E02000868",6,2,5,28
"E02000868",6,2,6,11
"E02000868",6,3,1,1
"E02000868",6,3,2,7
"E02000868",6,3,3,37
"E02000868",6,3,4,57
"E02000868",6,3,5,60
"E02000868",6,3,6,17
"E02000868",6,4,1,1
"E02000868",6,4,2,3
"E02000868",6,4,3,7
"E02000868",6,4,4,32
"E02000868",6,4,5,84
"E02000868",6,4,6,37
"E02000869",2,1,1,4
"E02000869",2,1,2,7
"E02000869",2,1,3,24
"E02000869",2,1,4,40
"E02000869",2,1,5,26
"E02000869",2,1,6,10
"E02000869",2,2,1,1
"E02000869",2,2,2,5
"E02000869",2,2,3,14
"E02000869",2,2,4,36
"E02000869",2,2,5,26
"E02000869",2,2,6,17
"E02000869",2,3,1,1
"E02000869",2,3,2,3
"E02000869",2,3,3,3
"E02000869",2,3,4,8
"E02000869",2,3,5,6
