"MSOA","Type","CentHeat","Tenure","Count"
"E02000871",4,FALSE,3,0
"E02000871",4,FALSE,5,1
"E02000871",4,FALSE,6,1
"E02000871",4,TRUE,2,17
"E02000871",4,TRUE,3,35
"E02000871",4,TRUE,5,171
"E02000871",4,TRUE,6,35
"E02000871",5,FALSE,2,7
"E02000871",5,FALSE,3,4
"E02000871",5,FALSE,5,11
"E02000871",5,FALSE,6,28
"E02000871",5,TRUE,2,110
"E02000871",5,TRUE,3,405
"E02000871",5,TRUE,5,1447
"E02000871",5,TRUE,6,698
"E02000872",2,FALSE,2,0
"E02000872",2,FALSE,3,0
"E02000872",2,FALSE,5,0
"E02000872",2,FALSE,6,0
"E02000872",2,TRUE,2,0
"E02000872",2,TRUE,3,3
"E02000872",2,TRUE,5,16
"E02000872",2,TRUE,6,6
"E02000872",3,FALSE,2,0
"E02000872",3,FALSE,3,0
"E02000872",3,FALSE,5,0
"E02000872",3,FALSE,6,0
"E02000872",3,TRUE,2,6
"E02000872",3,TRUE,3,5
"E02000872",3,TRUE,5,18
"E02000872",3,TRUE,6,9
"E02000872",4,FALSE,2,1
"E02000872",4,FALSE,3,0
"E02000872",4,FALSE,5,2
"E02000872",4,FALSE,6,1
"E02000872",4,TRUE,2,28
"E02000872",4,TRUE,3,35
"E02000872",4,TRUE,5,65
"E02000872",4,TRUE,6,59
"E02000872",5,FALSE,2,5
"E02000872",5,FALSE,3,15
"E02000872",5,FALSE,5,22
"E02000872",5,FALSE,6,48
"E02000872",5,TRUE,2,185
"E02000872",5,TRUE,3,426
"E02000872",5,TRUE,5,1130
"E02000872",5,TRUE,6,1003
"E02000873",2,FALSE,2,0
"E02000873",2,FALSE,3,0
"E02000873",2,FALSE,5,0
"E02000873",2,FALSE,6,1
"E02000873",2,TRUE,2,1
"E02000873",2,TRUE,3,0
"E02000873",2,TRUE,5,16
"E02000873",2,TRUE,6,10
"E02000873",3,FALSE,2,0
"E02000873",3,FALSE,3,0
"E02000873",3,FALSE,5,0
"E02000873",3,FALSE,6,0
"E02000873",3,TRUE,2,3
"E02000873",3,TRUE,3,11
"E02000873",3,TRUE,5,17
"E02000873",3,TRUE,6,14
"E02000873",4,FALSE,2,3
"E02000873",4,FALSE,3,0
"E02000873",4,FALSE,5,2
"E02000873",4,FALSE,6,2
"E02000873",4,TRUE,2,42
"E02000873",4,TRUE,3,51
"E02000873",4,TRUE,5,68
"E02000873",4,TRUE,6,60
"E02000873",5,FALSE,2,7
"E02000873",5,FALSE,3,25
"E02000873",5,FALSE,5,11
"E02000873",5,FALSE,6,43
"E02000873",5,TRUE,2,168
"E02000873",5,TRUE,3,416
"E02000873",5,TRUE,5,1181
"E02000873",5,TRUE,6,640
"E02000874",2,FALSE,2,0
"E02000874",2,FALSE,3,0
"E02000874",2,FALSE,5,0
"E02000874",2,FALSE,6,0
"E02000874",2,TRUE,2,1
"E02000874",2,TRUE,3,1
"E02000874",2,TRUE,5,18
"E02000874",2,TRUE,6,8
"E02000874",3,FALSE,2,0
"E02000874",3,FALSE,3,0
"E02000874",3,FALSE,5,1
"E02000874",3,FALSE,6,0
"E02000874",3,TRUE,2,6
"E02000874",3,TRUE,3,8
"E02000874",3,TRUE,5,23
"E02000874",3,TRUE,6,11
"E02000874",4,FALSE,2,0
"E02000874",4,FALSE,3,2
"E02000874",4,FALSE,5,0
"E02000874",4,FALSE,6,2
"E02000874",4,TRUE,2,32
"E02000874",4,TRUE,3,34
"E02000874",4,TRUE,5,62
"E02000874",4,TRUE,6,53
"E02000874",5,FALSE,2,7
"E02000874",5,FALSE,3,6
"E02000874",5,FALSE,5,13
"E02000874",5,FALSE,6,13
"E02000874",5,TRUE,2,118
"E02000874",5,TRUE,3,274
"E02000874",5,TRUE,5,1211
"E02000874",5,TRUE,6,590
"E02000875",2,FALSE,2,0
"E02000875",2,FALSE,3,0
"E02000875",2,FALSE,5,0
"E02000875",2,FALSE,6,0
"E02000875",2,TRUE,2,0
"E02000875",2,TRUE,3,1
"E02000875",2,TRUE,5,20
"E02000875",2,TRUE,6,11
"E02000875",3,FALSE,2,0
