"MSOA";"Sex";"Age";"Persons"
"E02000867";"F";20;104
"E02000867";"M";21;88
"E02000867";"F";21;98
"E02000867";"M";22;105
"E02000867";"F";22;150
"E02000867";"M";23;154
"E02000867";"F";23;203
"E02000867";"M";24;160
"E02000867";"F";24;196
"E02000867";"M";25;194
"E02000867";"F";25;210
"E02000867";"M";26;170
"E02000867";"F";26;205
"E02000867";"M";27;217
"E02000867";"F";27;207
"E02000867";"M";28;204
"E02000867";"F";28;205
"E02000867";"M";29;189
"E02000867";"F";29;180
"E02000867";"M";30;185
"E02000867";"F";30;165
"E02000867";"M";31;172
"E02000867";"F";31;137
"E02000867";"M";32;127
"E02000867";"F";32;117
"E02000867";"M";33;131
"E02000867";"F";33;142
"E02000867";"M";34;142
"E02000867";"F";34;97
"E02000867";"M";35;110
"E02000867";"F";35;83
"E02000867";"M";36;110
"E02000867";"F";36;71
"E02000867";"M";37;78
"E02000867";"F";37;62
"E02000867";"M";38;55
"E02000867";"F";38;79
"E02000867";"M";39;85
"E02000867";"F";39;52
"E02000867";"M";40;97
"E02000867";"F";40;67
"E02000867";"M";41;48
"E02000867";"F";41;46
"E02000867";"M";42;45
"E02000867";"F";42;57
"E02000867";"M";43;64
"E02000867";"F";43;43
"E02000867";"M";44;53
"E02000867";"F";44;29
"E02000867";"M";45;57
"E02000867";"F";45;48
"E02000867";"M";46;62
"E02000867";"F";46;39
"E02000867";"M";47;61
"E02000867";"F";47;44
"E02000867";"M";48;42
"E02000867";"F";48;38
"E02000867";"M";49;41
"E02000867";"F";49;33
"E02000867";"M";50;34
"E02000867";"F";50;34
"E02000867";"M";51;36
"E02000867";"F";51;33
"E02000867";"M";52;33
"E02000867";"F";52;28
"E02000867";"M";53;29
"E02000867";"F";53;31
"E02000867";"M";54;26
"E02000867";"F";54;31
"E02000867";"M";55;35
"E02000867";"F";55;29
"E02000867";"M";56;21
"E02000867";"F";56;40
"E02000867";"M";57;16
"E02000867";"F";57;25
"E02000867";"M";58;19
"E02000867";"F";58;27
"E02000867";"M";59;23
"E02000867";"F";59;31
"E02000867";"M";60;15
"E02000867";"F";60;16
"E02000867";"M";61;13
"E02000867";"F";61;21
"E02000867";"M";62;17
"E02000867";"F";62;22
"E02000867";"M";63;16
"E02000867";"F";63;16
"E02000867";"M";64;22
"E02000867";"F";64;14
"E02000867";"M";65;10
"E02000867";"F";65;14
"E02000867";"M";66;13
"E02000867";"F";66;16
"E02000867";"M";67;15
"E02000867";"F";67;22
"E02000867";"M";68;9
"E02000867";"F";68;18
"E02000867";"M";69;12
"E02000867";"F";69;21
"E02000867";"M";70;13
"E02000867";"F";70;13
"E02000867";"M";71;15
"E02000867";"F";71;11
"E02000867";"M";72;9
"E02000867";"F";72;11
"E02000867";"M";73;10
"E02000867";"F";73;9
"E02000867";"M";74;10
"E02000867";"F";74;14
"E02000867";"M";75;10
"E02000867";"F";75;14
"E02000867";"M";76;7
"E02000867";"F";76;15
"E02000867";"M";77;15
"E02000867";"F";77;21
"E02000867";"M";78;10
"E02000867";"F";78;10
"E02000867";"M";79;8
"E02000867";"F";79;5
"E02000867";"M";80;11
"E02000867";"F";80;12
"E02000867";"M";81;8
"E02000867";"F";81;11
"E02000867";"M";82;5
"E02000867";"F";82;10
"E02000867";"M";83;1
"E02000867";"F";83;8
"E02000867";"M";84;2
"E02000867";"F";84;4
"E02000867";"M";85;18
"E02000867";"F";85;44
"E02000868";"M";0;46
"E02000868";"F";0;36
"E02000868";"M";1;33
"E02000868";"F";1;21
"E02000868";"M";2;27
"E02000868";"F";2;38
"E02000868";"M";3;30
"E02000868";"F";3;34
"E02000868";"M";4;41
"E02000868";"F";4;33
"E02000868";"M";5;33
"E02000868";"F";5;39
"E02000868";"M";6;27
"E02000868";"F";6;28
"E02000868";"M";7;38
"E02000868";"F";7;32
"E02000868";"M";8;45
"E02000868";"F";8;41
"E02000868";"M";9;23
"E02000868";"F";9;40
"E02000868";"M";10;34
"E02000868";"F";10;31
"E02000868";"M";11;24
"E02000868";"F";11;31
"E02000868";"M";12;34
"E02000868";"F";12;32
"E02000868";"M";13;25
"E02000868";"F";13;23
"E02000868";"M";14;32
"E02000868";"F";14;31
"E02000868";"M";15;48
"E02000868";"F";15;23
"E02000868";"M";16;35
"E02000868";"F";16;27
"E02000868";"M";17;34
"E02000868";"F";17;19
"E02000868";"M";18;32
"E02000868";"F";18;36
"E02000868";"M";19;53
"E02000868";"F";19;59
"E02000868";"M";20;71
"E02000868";"F";20;96
"E02000868";"M";21;66
"E02000868";"F";21;87
"E02000868";"M";22;72
"E02000868";"F";22;78
"E02000868";"M";23;76
"E02000868";"F";23;96
"E02000868";"M";24;135
"E02000868";"F";24;116
"E02000868";"M";25;105
"E02000868";"F";25;130
"E02000868";"M";26;117
"E02000868";"F";26;127
"E02000868";"M";27;122
"E02000868";"F";27;132
"E02000868";"M";28;130
"E02000868";"F";28;115
"E02000868";"M";29;121
"E02000868";"F";29;135
"E02000868";"M";30;119
"E02000868";"F";30;117
"E02000868";"M";31;83
"E02000868";"F";31;117
"E02000868";"M";32;109
"E02000868";"F";32;81
"E02000868";"M";33;92
"E02000868";"F";33;76
"E02000868";"M";34;80
"E02000868";"F";34;61
"E02000868";"M";35;66
"E02000868";"F";35;67
"E02000868";"M";36;64
"E02000868";"F";36;60
"E02000868";"M";37;66
"E02000868";"F";37;48
"E02000868";"M";38;56
"E02000868";"F";38;44
"E02000868";"M";39;67
"E02000868";"F";39;38
"E02000868";"M";40;52
"E02000868";"F";40;36
"E02000868";"M";41;43
"E02000868";"F";41;38
"E02000868";"M";42;40
"E02000868";"F";42;33
"E02000868";"M";43;44
"E02000868";"F";43;36
"E02000868";"M";44;38
"E02000868";"F";44;26
"E02000868";"M";45;25
"E02000868";"F";45;24
"E02000868";"M";46;30
"E02000868";"F";46;13
"E02000868";"M";47;31
"E02000868";"F";47;23
"E02000868";"M";48;26
"E02000868";"F";48;22
"E02000868";"M";49;33
"E02000868";"F";49;25
"E02000868";"M";50;23
"E02000868";"F";50;28
"E02000868";"M";51;28
"E02000868";"F";51;22
"E02000868";"M";52;42
"E02000868";"F";52;13
"E02000868";"M";53;30
"E02000868";"F";53;25
"E02000868";"M";54;30
"E02000868";"F";54;21
"E02000868";"M";55;19
"E02000868";"F";55;18
"E02000868";"M";56;21
"E02000868";"F";56;23
"E02000868";"M";57;9
"E02000868";"F";57;18
"E02000868";"M";58;15
"E02000868";"F";58;15
"E02000868";"M";59;13
"E02000868";"F";59;20
"E02000868";"M";60;17
"E02000868";"F";60;14
"E02000868";"M";61;12
"E02000868";"F";61;19
"E02000868";"M";62;13
"E02000868";"F";62;12
"E02000868";"M";63;12
"E02000868";"F";63;15
"E02000868";"M";64;16
"E02000868";"F";64;17
"E02000868";"M";65;8
"E02000868";"F";65;13
"E02000868";"M";66;10
"E02000868";"F";66;10
"E02000868";"M";67;12
"E02000868";"F";67;8
"E02000868";"M";68;10
"E02000868";"F";68;13
"E02000868";"M";69;5
"E02000868";"F";69;11
"E02000868";"M";70;11
"E02000868";"F";70;18
"E02000868";"M";71;7
"E02000868";"F";71;10
"E02000868";"M";72;8
"E02000868";"F";72;9
"E02000868";"M";73;9
"E02000868";"F";73;8
"E02000868";"M";74;6
"E02000868";"F";74;18
"E02000868";"M";75;5
"E02000868";"F";75;11
